,站點,城市,aqi,狀態,pm25
935,橋頭,高雄市,77.0,普通,26.0
936,美濃,高雄市,94.0,普通,33.0
937,臺南,臺南市,59.0,普通,19.0
938,安南,臺南市,49.0,良好,15.0
939,善化,臺南市,57.0,普通,18.0
940,新營,臺南市,49.0,良好,15.0
941,嘉義,嘉義市,67.0,普通,22.0
942,臺西,雲林縣,54.0,普通,17.0
943,朴子,嘉義縣,54.0,普通,17.0
944,新港,嘉義縣,52.0,普通,16.0
945,崙背,雲林縣,54.0,普通,17.0
946,斗六,雲林縣,57.0,普通,18.0
947,南投,南投縣,77.0,普通,26.0
948,二林,彰化縣,36.0,良好,9.0
949,線西,彰化縣,57.0,普通,18.0
950,彰化,彰化縣,39.0,良好,12.0
951,西屯,臺中市,52.0,普通,16.0
952,忠明,臺中市,47.0,良好,14.0
953,大里,臺中市,52.0,普通,16.0
954,沙鹿,臺中市,49.0,良好,15.0
955,豐原,臺中市,54.0,普通,17.0
956,三義,苗栗縣,32.0,良好,10.0
957,苗栗,苗栗縣,30.0,良好,8.0
958,頭份,苗栗縣,29.0,良好,9.0
959,新竹,新竹市,24.0,良好,3.0
960,竹東,新竹縣,36.0,良好,11.0
961,湖口,新竹縣,23.0,良好,7.0
962,龍潭,桃園市,26.0,良好,5.0
963,平鎮,桃園市,19.0,良好,6.0
964,觀音,桃園市,30.0,良好,9.0
965,大園,桃園市,30.0,良好,6.0
966,桃園,桃園市,17.0,良好,3.0
967,大同,臺北市,29.0,良好,4.0
968,松山,臺北市,23.0,良好,5.0
969,古亭,臺北市,26.0,良好,8.0
970,萬華,臺北市,26.0,良好,8.0
971,中山,臺北市,27.0,良好,6.0
972,士林,臺北市,26.0,良好,8.0
973,淡水,新北市,26.0,良好,8.0
974,林口,新北市,39.0,良好,12.0
975,菜寮,新北市,19.0,良好,6.0
976,新莊,新北市,15.0,良好,2.0
977,板橋,新北市,23.0,良好,5.0
978,土城,新北市,18.0,良好,4.0
979,新店,新北市,32.0,良好,10.0
980,萬里,新北市,31.0,良好,4.0
981,汐止,新北市,19.0,良好,6.0
982,基隆,基隆市,16.0,良好,5.0
983,中壢,桃園市,28.0,良好,4.0
984,三重,新北市,34.0,良好,4.0
985,冬山,宜蘭縣,32.0,良好,2.0
986,宜蘭,宜蘭縣,16.0,良好,3.0
987,陽明,臺北市,12.0,良好,1.0
988,復興,高雄市,69.0,普通,23.0
989,永和,新北市,23.0,良好,4.0
990,竹山,南投縣,77.0,普通,26.0
991,中壢,桃園市,28.0,良好,4.0
992,三重,新北市,34.0,良好,4.0
993,冬山,宜蘭縣,32.0,良好,2.0
994,宜蘭,宜蘭縣,16.0,良好,3.0
995,陽明,臺北市,12.0,良好,1.0
996,花蓮,花蓮縣,26.0,良好,8.0
997,臺東,臺東縣,17.0,良好,3.0
998,潮州,屏東縣,99.0,普通,35.0
999,屏東,屏東縣,97.0,普通,34.0
